iter	Passed	Remaining
0	1	143
1	2	133
2	3	127
3	4	119
4	6	124
5	7	121
6	9	119
7	10	117
8	11	116
9	12	114
10	13	112
11	15	111
12	16	110
13	17	108
14	18	107
15	20	106
16	22	107
17	23	106
18	24	104
19	25	103
20	27	101
21	28	100
22	29	98
23	30	97
24	31	95
25	33	94
26	35	94
27	36	94
28	38	93
29	39	92
30	40	90
31	42	89
32	43	87
33	44	86
34	45	84
35	47	83
36	48	82
37	49	80
38	51	79
39	52	78
40	53	77
41	54	74
42	55	73
43	56	72
44	57	70
45	59	69
46	60	68
47	61	67
48	63	65
49	64	64
50	66	64
51	68	62
52	69	61
53	70	60
54	71	58
55	73	57
56	74	56
57	75	55
58	77	53
59	78	52
60	80	51
61	82	50
62	83	49
63	85	48
64	86	46
65	88	45
66	89	44
67	90	42
68	91	41
69	93	39
70	94	38
71	96	37
72	97	36
73	99	34
74	100	33
75	101	32
76	103	30
77	104	29
78	105	28
79	107	26
80	108	25
81	110	24
82	111	22
83	113	21
84	114	20
85	115	18
86	117	17
87	118	16
88	119	14
89	121	13
90	122	12
91	124	10
92	126	9
93	128	8
94	129	6
95	131	5
96	132	4
97	134	2
98	135	1
99	136	0
