iter	Passed	Remaining
0	144	144675
1	146	73297
2	156	51867
3	158	39481
4	159	31839
5	162	26910
6	166	23663
7	168	20899
8	169	18703
9	171	16960
10	173	15626
11	176	14526
12	183	13915
13	185	13055
14	187	12290
15	188	11590
16	189	10970
17	191	10432
18	193	9990
19	195	9568
20	196	9164
21	197	8801
22	199	8470
23	200	8164
24	202	7884
25	203	7624
26	204	7384
27	206	7184
28	208	6995
29	212	6856
30	213	6679
31	215	6528
32	217	6377
33	218	6221
34	220	6072
35	223	5982
36	225	5865
37	226	5738
38	227	5614
39	229	5503
40	231	5420
41	233	5336
42	241	5364
43	242	5269
44	243	5173
45	244	5078
46	246	4988
47	247	4902
48	248	4823
49	252	4799
50	254	4741
51	256	4669
52	258	4617
53	259	4551
54	261	4485
55	262	4421
56	263	4359
57	264	4297
58	267	4262
59	269	4214
60	270	4161
61	271	4110
62	273	4061
63	274	4012
64	275	3967
65	277	3923
66	278	3879
67	280	3839
68	282	3816
69	284	3783
70	287	3764
71	289	3731
72	291	3700
73	293	3672
74	298	3682
75	300	3656
76	302	3631
77	304	3601
78	306	3570
79	307	3537
80	308	3504
81	311	3485
82	313	3462
83	316	3446
84	317	3419
85	319	3390
86	320	3360
87	321	3331
88	322	3304
89	323	3275
90	327	3270
91	329	3250
92	330	3224
93	331	3197
94	332	3171
95	334	3146
96	335	3121
97	336	3095
98	337	3071
99	338	3049
100	342	3045
101	343	3027
102	345	3005
103	346	2983
104	347	2961
105	348	2940
106	349	2919
107	350	2898
108	352	2878
109	354	2864
110	359	2881
111	360	2861
112	362	2842
113	363	2823
114	364	2804
115	365	2785
116	366	2766
117	367	2748
118	368	2731
119	371	2726
120	373	2714
121	374	2695
122	375	2679
123	376	2662
124	378	2646
125	379	2630
126	380	2613
127	381	2597
128	382	2582
129	383	2567
130	387	2567
131	389	2558
132	390	2544
133	391	2529
134	392	2515
135	393	2501
136	394	2487
137	395	2473
138	397	2460
139	398	2447
140	400	2436
141	401	2428
142	403	2420
143	405	2411
144	408	2408
145	410	2398
146	411	2388
147	412	2377
148	415	2375
149	418	2368
150	420	2366
151	423	2361
152	425	2352
153	426	2342
154	427	2331
155	431	2337
156	434	2330
157	439	2342
158	441	2335
159	443	2329
160	446	2326
161	448	2320
162	450	2312
163	451	2304
164	453	2293
165	454	2284
166	455	2273
167	457	2264
168	458	2254
169	462	2255
170	463	2246
171	465	2239
172	466	2229
173	467	2220
174	468	2210
175	470	2201
176	472	2195
177	481	2222
178	487	2234
179	493	2249
180	496	2244
181	498	2240
182	500	2234
183	501	2226
184	503	2219
185	505	2211
186	511	2225
187	513	2219
188	515	2212
189	517	2207
190	519	2199
191	520	2191
192	525	2196
193	526	2188
194	529	2183
195	530	2178
196	535	2181
197	541	2191
198	542	2183
199	543	2175
200	545	2168
201	546	2159
202	548	2152
203	549	2143
204	552	2143
205	557	2150
206	559	2144
207	561	2137
208	562	2130
209	564	2122
210	565	2115
211	568	2113
212	570	2108
213	571	2100
214	573	2093
215	575	2089
216	577	2083
217	579	2077
218	583	2080
219	586	2078
220	587	2071
221	589	2065
222	590	2058
223	592	2051
224	593	2043
225	600	2055
226	602	2052
227	604	2045
228	609	2051
229	611	2047
230	614	2045
231	615	2038
232	617	2032
233	618	2026
234	621	2023
235	623	2017
236	624	2011
237	628	2011
238	629	2004
239	631	1999
240	632	1993
241	634	1986
242	636	1981
